crawl_rank,novel_url,novel_id,rank_number,author,title,genre,view_count,view_count_number,rank_change,rank_change_number,reading_rate,reading_rate_number
184,https://novel.munpia.com/483425,483425,184,맛깔란,광마환생(狂魔幻生),무협,61,61,2,2,51.15%,51.15
185,https://novel.munpia.com/475937,475937,185,블라님,7회차 축구천재가 축구를 싫어함,"스포츠, 현대판타지",61,61,2,2,-,
186,https://novel.munpia.com/482442,482442,186,쮸르,에픽코덱스,판타지,59,59,3,3,-,
187,https://novel.munpia.com/480956,480956,187,베르헤라,우리 아빠가 아포칼립스 최강자,"판타지, 현대판타지",58,58,1,1,41.77%,41.77
188,https://novel.munpia.com/478634,478634,188,아가푸,멸망에서 감염자로 살아남기,"현대판타지, 퓨전",56,56,2,2,38.92%,38.92
189,https://novel.munpia.com/486327,486327,189,콜드나인,내가 만드는 스킬은 다 좋음,"현대판타지, 퓨전",56,56,34,34,-,
190,https://novel.munpia.com/481913,481913,190,행호사,쟁자수에서 신선까지,"무협, 퓨전",56,56,1,1,41.15%,41.15
191,https://novel.munpia.com/476123,476123,191,복면작가,돈 버는 재능이 미쳤습니다,"현대판타지, 드라마",55,55,1,1,18.86%,18.86
192,https://novel.munpia.com/480968,480968,192,독수리3호,고수가 되었다.,무협,55,55,6,6,29.95%,29.95
193,https://novel.munpia.com/479304,479304,193,쩹쩨비,건담이 탑을 오름,"판타지, SF",54,54,0,0,34.98%,34.98
194,https://novel.munpia.com/475968,475968,194,TigerFish,중세에서 날먹 하려는데 용이 내려옴,"대체역사, 판타지",54,54,3,3,35.17%,35.17
195,https://novel.munpia.com/477421,477421,195,감자세상,쓰레기 매니저가 정신을 차림,"현대판타지, 퓨전",54,54,1,1,38.95%,38.95
196,https://novel.munpia.com/476852,476852,196,트뤼포,Mr.한류!,"현대판타지, 드라마",52,52,-2,-2,56.98%,56.98
197,https://novel.munpia.com/475704,475704,197,공공원,1조짜리 재능으로 미슐랭 탑스타,"현대판타지, 드라마",52,52,-2,-2,59.58%,59.58
198,https://novel.munpia.com/477403,477403,198,허민호,국정원꿀알바였던것,전쟁·밀리터리,51,51,1,1,55.29%,55.29
199,https://novel.munpia.com/475830,475830,199,재경완,전생이 모차르트라 음악이 너무 쉽다,"현대판타지, 퓨전",48,48,1,1,22.02%,22.02
200,https://novel.munpia.com/481717,481717,200,에단.,전쟁의 신 나폴레옹의 비선 실세가 되었다,대체역사,48,48,1,1,26.97%,26.97
